author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction
Диалог Риэлт,real_estate_agent,https://lyubertsy.cian.ru/sale/flat/308678545/,Пересвет,sale,flat,4,4,1,31.9,4000000,Октябрьский рп, Комсомольская,11,,,,
Неометрия,developer,https://sochi.cian.ru/sale/flat/302444728/,Пересвет,sale,flat,8,10,1,22.2,26140500,Адлерский,Адлер жилрайон,,,Гостиничный комплекс ,,
ID 85604823,unknown,https://www.cian.ru/sale/flat/308497818/,Пересвет,sale,flat,16,41,2,51.0,34000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
ID 98396578,homeowner,https://www.cian.ru/sale/flat/308733860/,Пересвет,sale,flat,1,9,2,45.0,17800000,Красносельский,Протопоповский переулок,38,Площадь трёх вокзалов,,,
Сармат,developer,https://krasnodar.cian.ru/sale/flat/307540724/,Пересвет,sale,flat,2,16,1,37.9,5306000,Прикубанский, Западный обход,65/1,,Cармат,,
ID 85604823,unknown,https://www.cian.ru/sale/flat/305768574/,Пересвет,sale,flat,6,42,1,42.0,29000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/308711044/,Пересвет,sale,flat,8,22,1,40.0,13290000,Марьино, Верхние Поля,36К2,Люблино,,,
Интеллект,developer,https://krym.cian.ru/sale/flat/295983885/,Пересвет,sale,flat,2,13,1,38.3,12928244,,,,,Парковая Резиденция,,
ID 85604823,unknown,https://www.cian.ru/sale/flat/307014462/,Пересвет,sale,flat,6,42,1,42.0,29000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305111360/,Пересвет,sale,flat,4,16,2,37.0,19000000,Пресненский,Красногвардейский бульвар,5К2,Москва-Сити,,,
Интеллект,developer,https://krym.cian.ru/sale/flat/291497607/,Пересвет,sale,flat,2,20,2,49.18,12718487,,,,,Крымская Резиденция,,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Пересвет,sale,flat,5,6,2,43.0,26900000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence,,
Залму Писарук,realtor,https://www.cian.ru/sale/flat/308532820/,Пересвет,sale,flat,7,12,2,55.0,13400000,Бирюлево Восточное,Лебедянская ,4,,,,
Эталон,developer,https://ekb.cian.ru/sale/flat/308412109/,Пересвет,sale,flat,3,5,2,40.69,5821699,,,,,Балтым-Парк,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Пересвет,sale,flat,2,21,2,57.23,59000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,
Зульфия  Галяутдинова,realtor,https://www.cian.ru/sale/flat/308225788/,Пересвет,sale,flat,13,14,2,61.0,29000000,Гагаринский,Университетский проспект,6К2,Воробьёвы горы,,,
Перспектива,developer,https://krym.cian.ru/sale/flat/305496512/,Пересвет,sale,flat,3,8,2,76.9,23000000,Восход пгт, Наташинская,2Ж,,Монако,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307822693/,Пересвет,sale,flat,9,18,2,66.4,69700000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,
ЛЮДИ ДЛЯ ЛЮДЕЙ,real_estate_agent,https://spb.cian.ru/sale/flat/305602913/,Пересвет,sale,flat,4,7,1,31.1,6000000,Калининский,проспект Науки,40,Академическая,,,
СК10,developer,https://rostov.cian.ru/sale/flat/289997272/,Пересвет,sale,flat,19,25,2,38.54,5140000,Советский,,,,Малина парк,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Пересвет,sale,flat,7,9,2,108.3,154000000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/303023571/,Пересвет,sale,flat,4,5,1,30.3,3899000,,шоссе Энтузиастов,57,Салтыковская,,,
РКС Девелопмент,developer,https://krasnodar.cian.ru/sale/flat/306944508/,Пересвет,sale,flat,2,7,2,56.5,13627800,,,,,Anapolis Residence,,
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679729/,Пересвет,sale,flat,9,20,2,59.0,25370000,Даниловский,,,Тульская,Форст ЖК,,
ID 74991203,homeowner,https://www.cian.ru/sale/flat/308079051/,Пересвет,sale,flat,3,24,2,53.2,19570000,Донской,Новоданиловская набережная,8к2,Верхние котлы,Новоданиловская 8,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/306297919/,Пересвет,sale,flat,2,18,2,49.5,7730000,Верх-Исетский,,,Площадь 1905 года,Русь XXI ЖК,,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Пересвет,sale,flat,9,40,1,41.5,32000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк,,
Святослав Пивненко,realtor,https://spb.cian.ru/sale/flat/307823563/,Пересвет,sale,flat,4,17,2,74.0,17300000,Приморский,аллея Поликарпова,6к1,Пионерская,,,
Интеллект,developer,https://krym.cian.ru/sale/flat/306356337/,Пересвет,sale,flat,7,20,1,24.84,8609974,,,,,Крымская Резиденция,,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/304519685/,Пересвет,sale,flat,39,41,2,56.9,39000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,
ID 7150714,homeowner,https://spb.cian.ru/sale/flat/308695839/,Пересвет,sale,flat,2,5,2,46.0,18000000,Петроградский,Каменноостровский проспект,64С,Петроградская,,,
Эталон,developer,https://ekb.cian.ru/sale/flat/308412177/,Пересвет,sale,flat,2,5,1,38.08,5498522,,,,,Балтым-Парк,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305909779/,Пересвет,sale,flat,6,10,2,178.1,150000000,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра,,
ID 47664046,unknown,https://www.cian.ru/sale/flat/308204535/,Пересвет,sale,flat,5,17,2,65.2,21500000,Черемушки,Профсоюзная ,30К2,Профсоюзная,,,
Перспектива,developer,https://krym.cian.ru/sale/flat/305496510/,Пересвет,sale,flat,2,8,1,70.3,16000000,Восход пгт, Наташинская,2Ж,,Монако,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305274218/,Пересвет,sale,flat,2,5,2,84.63,139639500,Басманный,Потаповский переулок,6С1,Чистые пруды,Абрикосов,,
OPN PARTNER,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/299929933/,Пересвет,sale,flat,2,7,2,55.0,8899000,с. Николо-Урюпино, Полковника Глазунова,15,,Лесобережный,,
СК10,developer,https://rostov.cian.ru/sale/flat/303045403/,Пересвет,sale,flat,24,25,1,33.37,4110000,Советский,,,,Малина парк,,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/307575540/,Пересвет,sale,flat,4,21,2,54.0,59000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,
BrokerStreet,representative_developer,https://kaliningrad.cian.ru/sale/flat/301978164/,Пересвет,sale,flat,2,14,2,65.8,9343600,Ленинградский,,,,Вдохновение ЖК,,
РКС Девелопмент,developer,https://krasnodar.cian.ru/sale/flat/308252390/,Пересвет,sale,flat,2,7,1,41.7,10491720,,,,,Anapolis Residence,,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Пересвет,sale,flat,39,41,2,56.9,40000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,
ID 95814020,realtor,https://www.cian.ru/sale/flat/308490853/,Пересвет,sale,flat,12,17,2,71.0,17500000,, Никитина,11к4,Рассказовка,,,
СК10,developer,https://rostov.cian.ru/sale/flat/304874044/,Пересвет,sale,flat,15,24,2,52.95,9160000,Кировский,Красноармейская ,250,,Космос,,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Пересвет,sale,flat,13,41,1,41.5,31000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,
ID 116114838,homeowner,https://www.cian.ru/sale/flat/308719974/,Пересвет,sale,flat,2,11,2,42.4,12850000,,бульвар Веласкеса,7к1,Ольховая,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/306297927/,Пересвет,sale,flat,3,18,1,34.1,5901000,Верх-Исетский,,,Площадь 1905 года,Русь XXI ЖК,,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Пересвет,sale,flat,3,20,1,59.0,61800000,Пресненский, Костикова,4к6,Улица 1905 года,Lucky,,
Юрий Шадеко,realtor,https://spb.cian.ru/sale/flat/307347913/,Пересвет,sale,flat,10,17,1,45.0,13900000,Приморский,переулок Ипподромный,3к1,Пионерская,Приморский квартал,,
СЗ Феникс,developer,https://rostov.cian.ru/sale/flat/305377450/,Пересвет,sale,flat,15,19,2,42.1,8129999,Советский,проспект Стачки,198В,,Times,,
ID 52825739,homeowner,https://www.cian.ru/sale/flat/307814530/,Пересвет,sale,flat,7,15,2,46.5,23900000,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер,,
Этажи Москва,real_estate_agent,https://lyubertsy.cian.ru/sale/flat/308675651/,Пересвет,sale,flat,1,3,1,33.6,4800000,,,,,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/305791387/,Пересвет,sale,flat,6,23,2,52.3,6892000,Кировский,,,Машиностроителей,Основинские кварталы ЖК,,
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/303387198/,Пересвет,sale,flat,18,22,1,30.0,11700000,,бульвар Андрея Тарковского,11,Рассказовка,Рассказово,,
ID 17498307,homeowner,https://www.cian.ru/sale/flat/308837547/,Пересвет,sale,flat,5,10,1,40.4,28900000,Дорогомилово,Кутузовский проспект,30,Кутузовская,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/301967067/,Пересвет,sale,flat,22,28,2,48.1,11409000,Центр, Свердлова,10,Динамо,Екатерининский парк,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308872981/,Пересвет,sale,flat,37,37,2,48.0,42500000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,
ID 81467774,homeowner,https://www.cian.ru/sale/flat/306073042/,Пересвет,sale,flat,3,17,1,38.0,13700000,Свиблово,Вересковая ,1К1,Свиблово,,,
ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294666388/,Пересвет,sale,flat,4,24,2,57.34,6375061,мкр. РИП,Российская ,,,Гулливер,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/303534103/,Пересвет,sale,flat,16,25,1,34.0,9700000,,,7,Ольховая,,,
Ю-Питер,real_estate_agent,https://www.cian.ru/sale/flat/308901152/,Пересвет,sale,flat,14,16,2,50.5,14000000,Отрадное, Бестужевых,13,Отрадное,,,
ЭНКО,representative_developer,https://tyumen.cian.ru/sale/flat/301181335/,Пересвет,sale,flat,2,12,2,52.68,6460000,д. Патрушева, Петра Ершова,12,,ЖР ,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302177521/,Пересвет,sale,flat,3,15,2,58.54,61000000,Пресненский, Костикова,4к4,Улица 1905 года,Lucky,,
Доступный дом,real_estate_agent,https://www.cian.ru/sale/flat/293926786/,Пересвет,sale,flat,3,17,1,35.4,14990000,, Эдварда Грига,15,Потапово,,,
ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294669694/,Пересвет,sale,flat,2,15,2,58.65,12742886,,,,,Екатерининский парк,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/308069817/,Пересвет,sale,flat,4,21,2,54.0,58000000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky,,
Сулейман Махаури,realtor,https://krasnogorsk.cian.ru/sale/flat/294741975/,Пересвет,sale,flat,16,24,2,82.0,9700000,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,,
СЗ Феникс,developer,https://rostov.cian.ru/sale/flat/293615913/,Пересвет,sale,flat,4,13,1,47.1,8379202,Советский,,,,Таймс ЖК,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/306883426/,Пересвет,sale,flat,2,21,2,71.9,65000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304572948/,Пересвет,sale,flat,3,14,1,39.0,9300000,Ново-Переделкино, Шолохова,2,Новопеределкино,,,
СК10,developer,https://rostov.cian.ru/sale/flat/306489398/,Пересвет,sale,flat,2,9,2,40.15,5230000,Железнодорожный,бульвар Платова,14,,Сезоны,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/280614853/,Пересвет,sale,flat,3,15,2,58.54,61000000,Пресненский, Костикова,4к4,Улица 1905 года,Lucky,,
Мой мир,real_estate_agent,https://omsk.cian.ru/sale/flat/308452973/,Пересвет,sale,flat,3,9,1,36.9,3800000,мкр. 6-й, Степанца,12,,,,
СК10,developer,https://rostov.cian.ru/sale/flat/297424924/,Пересвет,sale,flat,23,25,2,38.68,5440000,Октябрьский,,,,Гринсайд ЖК,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Пересвет,sale,flat,5,21,2,117.0,115000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,
House Estate,real_estate_agent,https://spb.cian.ru/sale/flat/307440952/,Пересвет,sale,flat,3,5,2,67.2,28500000,Петроградский,Зверинская ,7-9,Спортивная,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/306899926/,Пересвет,sale,flat,14,23,1,34.0,4893000,Кировский,,,Машиностроителей,Основинские кварталы ЖК,,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/308901319/,Пересвет,sale,flat,59,85,2,90.3,75000000,Пресненский,1-й Красногвардейский проезд,21с1,Деловой центр,,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/294511036/,Пересвет,sale,flat,4,23,2,90.6,45000000,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк,,
СК10,developer,https://rostov.cian.ru/sale/flat/301539762/,Пересвет,sale,flat,17,25,2,40.82,6370000,Кировский,,,,Культура ЖК,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308896864/,Пересвет,sale,flat,10,32,2,64.4,51000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9,,
Иван Музалевский,realtor,https://balashikha.cian.ru/sale/flat/301875482/,Пересвет,sale,flat,7,16,1,42.3,7250000,, Юбилейная,4к5,Железнодорожная,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/302623378/,Пересвет,sale,flat,2,29,1,34.6,8557000,Центр, Свердлова,12,Динамо,Екатерининский парк,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308888399/,Пересвет,sale,flat,5,21,2,64.76,68500000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,,
MR Group,developer,https://www.cian.ru/sale/flat/306614015/,Пересвет,sale,flat,3,28,2,60.6,22803806,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298036722/,Пересвет,sale,flat,3,24,2,83.8,17350000,Центр, Большакова,66,Геологическая,RedRock,,
Smolenka Estate,real_estate_agent,https://www.cian.ru/sale/flat/306454598/,Пересвет,sale,flat,8,9,2,60.7,74100000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308852081/,Пересвет,sale,flat,4,20,2,71.0,14250000,, Барышевская Роща,12,Щербинка,Прима-Парк,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298038341/,Пересвет,sale,flat,3,16,2,78.1,30792000,Центр, Февральской Революции,21,Динамо,19/05,,
Анна Журавлева,realtor,https://www.cian.ru/sale/flat/308958260/,Пересвет,sale,flat,2,9,2,43.5,10000000,Печатники,Шоссейная ,8,Печатники,,,
ID 285016,homeowner,https://www.cian.ru/sale/flat/307877352/,Пересвет,sale,flat,19,21,2,51.0,26600000,Очаково-Матвеевское, Малая Очаковская,4Ак1,Озёрная,Мичуринский парк,,
НВМ,developer,https://krasnodar.cian.ru/sale/flat/307997253/,Пересвет,sale,flat,2,18,2,51.71,7756500,,,,,Народные Кварталы,,
ID 148596,homeowner,https://www.cian.ru/sale/flat/268629674/,Пересвет,sale,flat,10,10,1,38.5,11280000,Выхино-Жулебино,Жулебинский бульвар,6/11,Лермонтовский проспект,,,
НЕДВИЖИМОСТЬ 23,real_estate_agent,https://sochi.cian.ru/sale/flat/307942684/,Пересвет,sale,flat,7,9,2,56.0,12170000,Центральный, Навагинская,12,,,,
Садовое кольцо,developer,https://kazan.cian.ru/sale/flat/308962890/,Пересвет,sale,flat,10,18,2,61.08,18791023,Ново-Савиновский,,,Козья слобода,Савин Фемили ЖК,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307113534/,Пересвет,sale,flat,16,19,2,45.8,32000000,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь,,
Альберт Аванесян,realtor,https://www.cian.ru/sale/flat/307156518/,Пересвет,sale,flat,5,13,2,59.8,16350000,Марьино,Новомарьинская ,4,Марьино,,,
ИНСИТИ девелопмент,developer,https://krasnodar.cian.ru/sale/flat/308798014/,Пересвет,sale,flat,13,24,2,53.3,7757195,,,,,Микрорайон Любимово,,
Недвижимость у моря,real_estate_agent,https://sochi.cian.ru/sale/flat/308900987/,Пересвет,sale,flat,7,8,2,70.0,27000000,Адлерский, Просвещения,118/1,,,,
Гранит Инвест,real_estate_agent,https://spb.cian.ru/sale/flat/304880706/,Пересвет,sale,flat,4,14,2,57.7,15290500,Василеостровский,набережная Реки Смоленки,35к1,Приморская,Айно,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/299462077/,Пересвет,sale,flat,24,25,2,56.9,10239300,Чкаловский, 8 Марта,204Д,Чкаловская,Ботаника LIFE,,
Romanov Estate,real_estate_agent,https://www.cian.ru/sale/flat/299515958/,Пересвет,sale,flat,6,6,2,65.8,46999999,Даниловский,,,Павелецкая,Опус ЖК,,
Солнечный Сочи,real_estate_agent,https://sochi.cian.ru/sale/flat/308223929/,Пересвет,sale,flat,10,16,1,63.0,12500000,Центральный, Парковая,5,,,,
СК10,developer,https://rostov.cian.ru/sale/flat/306489613/,Пересвет,sale,flat,6,9,1,40.6,5310000,Железнодорожный,,,,Сезоны ЖК,,
Владислав Карпов,realtor,https://www.cian.ru/sale/flat/308833064/,Пересвет,sale,flat,15,28,2,64.5,49000000,Раменки,Винницкая ,8к2,Раменки,Настоящее,,
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/308798471/,Пересвет,sale,flat,9,9,2,50.0,17500000,Северное Тушино, Фомичевой,3С1,Сходненская,,,
СК10,developer,https://rostov.cian.ru/sale/flat/289504809/,Пересвет,sale,flat,24,25,1,30.41,4390000,Октябрьский,,,,Гринсайд ЖК,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307848098/,Пересвет,sale,flat,21,24,2,52.4,37200000,Арбат, Новый Арбат,16,Арбатская,,,
Webster,real_estate_agent,https://www.cian.ru/sale/flat/307945716/,Пересвет,sale,flat,3,8,2,55.5,24000000,Ломоносовский, Строителей,7К1,Университет,,,
Неометрия,developer,https://krasnodar.cian.ru/sale/flat/288551750/,Пересвет,sale,flat,3,23,2,54.0,7092750,,,,,Отражение,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305646078/,Пересвет,sale,flat,24,24,2,57.4,37480000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы,,
Флагман,real_estate_agent,https://krasnodar.cian.ru/sale/flat/307815594/,Пересвет,sale,flat,9,16,1,39.0,5200000,Прикубанский, Летчика Позднякова,2,,Дыхание,,
СК10,developer,https://rostov.cian.ru/sale/flat/305717857/,Пересвет,sale,flat,21,25,1,37.39,5565839,Кировский,,,,Культура ЖК,,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/308629847/,Пересвет,sale,flat,26,41,2,46.0,21500000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/306785132/,Пересвет,sale,flat,3,20,1,47.3,6499999,, Чистопольская,28,Щёлковская,Эдельвейс-Комфорт,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/303975998/,Пересвет,sale,flat,13,19,2,51.8,7594000,Орджоникидзевский,,,Машиностроителей,Основинские кварталы ЖК,,
Михаил Догов,realtor,https://spb.cian.ru/sale/flat/304774889/,Пересвет,sale,flat,2,29,2,51.5,7200000,,Новая ,7к3,Девяткино,ЦДС Новое Мурино,,
Василий Мельник,realtor,https://mytishchi.cian.ru/sale/flat/289793101/,Пересвет,sale,flat,2,13,2,63.1,9500000,, Колпакова,25,Медведково,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298036735/,Пересвет,sale,flat,4,24,1,40.4,10036000,Центр, Большакова,66,Геологическая,RedRock,,
ID 112609323,realtor,https://www.cian.ru/sale/flat/307205775/,Пересвет,sale,flat,4,6,1,59.35,101785250,Мещанский, Кузнецкий Мост,12/3С1,Кузнецкий мост,Kuznetsky Most 12 by Lalique,,
Елена Гореликова,realtor,https://khimki.cian.ru/sale/flat/305791922/,Пересвет,sale,flat,13,15,1,26.8,5500000,Велтон Парк Новая Сходня мкр, Беговая,12,,Wellton Park Новая Сходня,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298038407/,Пересвет,sale,flat,2,16,1,55.9,21462000,Центр, Февральской Революции,21,Динамо,19/05,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306226871/,Пересвет,sale,flat,3,14,2,106.9,160350000,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,,
Антон Белов,realtor,https://www.cian.ru/sale/flat/297215041/,Пересвет,sale,flat,13,14,1,39.0,17600000,Таганский,переулок Ковров,1,Москва-Товарная,,,
DOGMA,developer,https://krasnodar.cian.ru/sale/flat/305422283/,Пересвет,sale,flat,3,18,2,56.2,6406800,,,,,Парк Победы - 2,,
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/307496200/,Пересвет,sale,flat,1,10,1,31.0,14500000,Раменки,Мичуринский проспект,10К1,Ломоносовский проспект,,,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308686231/,Пересвет,sale,flat,4,9,2,47.0,26700000,Раменки, Дружбы,2/19,Ломоносовский проспект,,,
НВМ,developer,https://krasnodar.cian.ru/sale/flat/307996515/,Пересвет,sale,flat,7,18,1,34.21,6670950,,,,,Народные Кварталы,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/306829886/,Пересвет,sale,flat,5,14,2,73.1,65520000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал,,
Влюблённые в недвижимость,real_estate_agent,https://spb.cian.ru/sale/flat/308377523/,Пересвет,sale,flat,6,6,2,55.9,21600000,Петроградский,Ораниенбаумская ,20,Чкаловская,,,
Садовое кольцо,developer,https://kazan.cian.ru/sale/flat/308626955/,Пересвет,sale,flat,10,24,1,45.8,15809922,Ново-Савиновский,,,Козья слобода,Савин Фемили ЖК,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/307963741/,Пересвет,sale,flat,1,16,2,56.0,13750000,Очаково-Матвеевское,Матвеевская ,6,Матвеевская,,,
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307091345/,Пересвет,sale,flat,16,17,1,35.1,16800000,Ярославский,Ярославское шоссе,51,ВДНХ,Я51,,
ИНСИТИ девелопмент,developer,https://krasnodar.cian.ru/sale/flat/306996008/,Пересвет,sale,flat,17,24,1,37.58,6159458,,,,,Микрорайон Любимово,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/305024150/,Пересвет,sale,flat,12,16,2,54.0,16399000,Можайский,Можайское шоссе,33,Рабочий посёлок,,,
ID 47664046,unknown,https://www.cian.ru/sale/flat/308165149/,Пересвет,sale,flat,10,12,2,52.0,13200000,Царицыно,Луганская ,3К2,Царицыно,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298221123/,Пересвет,sale,flat,25,25,1,37.2,7861500,Чкаловский, 8 Марта,204Д,Чкаловская,Ботаника LIFE,,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/307103955/,Пересвет,sale,flat,24,24,2,58.0,37490000,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,Сердце Столицы,,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294476646/,Пересвет,sale,flat,3,5,1,31.0,18500000,Пресненский, Юлиуса Фучика,2/30,Маяковская,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/299168872/,Пересвет,sale,flat,2,9,2,73.9,25839000,Центр, Михаила Ананьева,,Динамо,Клубный дом инженера Ятеса,,
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303778337/,Пересвет,sale,flat,9,14,2,99.9,134500000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,,
КАПИТАЛ,real_estate_agent,https://spb.cian.ru/sale/flat/303753408/,Пересвет,sale,flat,6,13,1,41.2,12400000,Московский,Кузнецовская ,58к3,Парк Победы,,,
Средастрой Новороссийск,developer,https://novorossiysk.cian.ru/sale/flat/307130577/,Пересвет,sale,flat,2,17,2,58.66,13198500,,,,,Золотой берег 2,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307079313/,Пересвет,sale,flat,9,14,2,77.0,62000000,Раменки,проспект Генерала Дорохова,39к1Г,Минская,Собрание клубных домов West Garden,,
ID 94542124,homeowner,https://www.cian.ru/sale/flat/308767223/,Пересвет,sale,flat,5,18,2,39.9,22500000,Левобережный,Фестивальная ,15К4,Речной вокзал,Фестиваль парк-2,,
ПАРК АВЕНЮ,developer,https://krasnodar.cian.ru/sale/flat/307199095/,Пересвет,sale,flat,3,6,2,45.4,5902000,Горячий Ключ, Ярославского,100В,,Ярославский,,
ID 85604823,unknown,https://www.cian.ru/sale/flat/305015991/,Пересвет,sale,flat,26,41,2,50.0,34000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307986637/,Пересвет,sale,flat,11,14,1,35.0,13900000,Раменки,1-й Сетуньский проезд,10,Кутузовская,,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/303395042/,Пересвет,sale,flat,2,25,1,30.4,6288000,Орджоникидзевский,,,Машиностроителей,Основинские кварталы ЖК,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307826522/,Пересвет,sale,flat,3,9,2,148.5,189000000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,
Винсент Недвижимость Центральный Офис номер 1,real_estate_agent,https://sochi.cian.ru/sale/flat/295204012/,Пересвет,sale,flat,3,11,2,53.0,22300000,Хостинский, Яна Фабрициуса,2/17,,Фестивальный,,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/297469215/,Пересвет,sale,flat,8,9,2,64.2,77000000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,
